week,flatscreen_verkopen,tv_spend,tv_always_on_campagne,tv_burst_campagne,radio_spend,search_generic_spend,search_brand_spend,meta_spend,youtube_spend,tiktok_spend,email_verzendingen,gemiddelde_prijs,promo_korting_pct,consumenten_vertrouwen
2023-01-02,13160,32532.0,1,0,25505.0,41668.0,11414.0,23014.0,13948.0,0.0,207600.0,694.57,4.5,-43.3
2023-01-09,13052,37511.0,1,0,0.0,39597.0,11200.0,20704.0,12477.0,0.0,185900.0,696.46,2.7,-40.1
2023-01-16,12875,35646.0,1,0,20048.0,39667.0,10424.0,20612.0,15222.0,0.0,193300.0,697.49,3.1,-41.8
2023-01-23,12874,34601.0,1,0,0.0,42598.0,11645.0,22722.0,13651.0,0.0,169000.0,691.27,3.6,-39.7
2023-01-30,12763,34433.0,1,0,0.0,43405.0,13285.0,18195.0,10084.0,0.0,175500.0,702.19,4.7,-39.9
2023-02-06,12603,39138.0,1,0,0.0,39716.0,9999.0,20799.0,9554.0,0.0,196300.0,706.81,3.5,-41.8
2023-02-13,12357,40376.0,1,0,23429.0,40548.0,12301.0,18474.0,12311.0,0.0,180200.0,696.5,4.6,-42.2
2023-02-20,12483,32515.0,1,0,28205.0,45075.0,8961.0,18178.0,12673.0,0.0,160200.0,690.36,6.4,-42.5
2023-02-27,12639,37650.0,1,0,27579.0,44891.0,11172.0,23589.0,13101.0,0.0,165400.0,690.24,3.3,-44.4
2023-03-06,12992,33822.0,1,0,24782.0,42981.0,12525.0,22551.0,14560.0,0.0,177800.0,708.98,5.9,-41.9
2023-03-13,12964,41043.0,1,0,0.0,47413.0,11354.0,21175.0,12604.0,0.0,202400.0,691.17,2.0,-41.3
2023-03-20,12328,40534.0,1,0,0.0,43659.0,10558.0,23088.0,14277.0,0.0,186900.0,685.74,5.0,-41.5
2023-03-27,12009,37467.0,1,0,0.0,38206.0,11558.0,20780.0,12064.0,0.0,167400.0,683.26,3.7,-41.5
2023-04-03,12916,38730.0,1,0,26094.0,41569.0,13187.0,23199.0,14258.0,0.0,178600.0,691.03,7.1,-40.0
2023-04-10,12243,36164.0,1,0,20686.0,39401.0,13790.0,17762.0,11939.0,0.0,179900.0,704.18,3.2,-39.9
2023-04-17,12739,39520.0,1,0,0.0,47047.0,13815.0,19495.0,11367.0,0.0,153800.0,704.12,2.7,-38.9
2023-04-24,12578,35443.0,1,0,16233.0,44828.0,12819.0,20805.0,11979.0,0.0,178500.0,698.49,5.6,-39.7
2023-05-01,12294,34259.0,1,0,18344.0,43294.0,12433.0,17370.0,9454.0,0.0,173700.0,687.5,4.6,-35.7
2023-05-08,12106,33601.0,1,0,0.0,35538.0,13183.0,18199.0,12526.0,0.0,176700.0,699.68,4.1,-36.8
2023-05-15,11341,33044.0,1,0,27599.0,37547.0,10612.0,16794.0,9308.0,0.0,165500.0,691.18,0.4,-37.1
2023-05-22,12119,36279.0,1,0,0.0,40956.0,10837.0,21538.0,13994.0,0.0,184600.0,697.28,4.6,-37.3
2023-05-29,12055,35254.0,1,0,0.0,35448.0,13550.0,18719.0,10011.0,0.0,172800.0,709.49,3.8,-37.0
2023-06-05,12160,37762.0,1,0,0.0,42953.0,13028.0,20531.0,10072.0,0.0,167400.0,689.92,4.1,-34.4
2023-06-12,11956,30739.0,1,0,0.0,39127.0,13050.0,21161.0,12344.0,0.0,206800.0,680.49,2.8,-35.3
2023-06-19,11426,35435.0,1,0,0.0,38294.0,12266.0,19477.0,12253.0,0.0,173400.0,706.32,5.9,-34.3
2023-06-26,11335,34544.0,1,0,0.0,37810.0,11010.0,19925.0,13548.0,0.0,158500.0,689.44,3.9,-33.4
2023-07-03,11225,0.0,0,0,21403.0,34426.0,10704.0,20208.0,13379.0,0.0,197300.0,688.94,3.6,-34.2
2023-07-10,11399,0.0,0,0,27387.0,33435.0,13126.0,20919.0,13252.0,0.0,200200.0,676.93,1.6,-32.9
2023-07-17,11727,0.0,0,0,0.0,30176.0,13299.0,23182.0,11287.0,0.0,164500.0,695.7,3.7,-35.1
2023-07-24,10340,0.0,0,0,27552.0,35282.0,10655.0,17158.0,11112.0,0.0,172500.0,697.82,2.3,-33.8
2023-07-31,11202,0.0,0,0,0.0,35810.0,11113.0,20092.0,10586.0,0.0,176300.0,691.1,6.0,
2023-08-07,10193,0.0,0,0,0.0,33308.0,11877.0,16912.0,9549.0,0.0,172900.0,697.48,4.3,
2023-08-14,10378,0.0,0,0,0.0,32661.0,13050.0,23443.0,16573.0,0.0,158200.0,685.22,3.0,-32.7
2023-08-21,10027,0.0,0,0,22340.0,30242.0,11591.0,15357.0,10621.0,0.0,162700.0,698.85,3.7,-30.1
2023-08-28,11092,0.0,0,0,24399.0,33439.0,10977.0,20281.0,11185.0,0.0,211000.0,693.92,6.1,-33.1
2023-09-04,11501,0.0,0,0,0.0,25036.0,13186.0,18844.0,11172.0,0.0,169800.0,701.5,4.2,-32.1
2023-09-11,11674,0.0,0,0,19383.0,28861.0,12717.0,18454.0,12288.0,0.0,170900.0,673.67,3.9,-31.9
2023-09-18,12784,0.0,0,0,28476.0,30069.0,11167.0,21630.0,13140.0,0.0,190500.0,676.69,6.7,-30.9
2023-09-25,12148,0.0,0,0,0.0,30475.0,11209.0,21178.0,12779.0,0.0,171700.0,693.47,4.5,-32.3
2023-10-02,13032,0.0,0,0,0.0,32697.0,13332.0,17511.0,9421.0,0.0,168800.0,689.03,5.3,-32.3
2023-10-09,12731,0.0,0,0,27658.0,31597.0,10463.0,21010.0,13577.0,0.0,163100.0,678.34,3.4,-31.3
2023-10-16,13609,0.0,0,0,27970.0,32856.0,11649.0,20577.0,13469.0,0.0,186800.0,686.1,3.4,-35.8
2023-10-23,14364,0.0,0,0,0.0,36425.0,12539.0,18031.0,10135.0,0.0,181900.0,692.45,5.2,-34.9
2023-10-30,14641,0.0,0,0,42896.0,51178.0,16697.0,23276.0,11915.0,0.0,285600.0,693.8,3.9,-35.1
2023-11-06,15214,181194.0,0,1,39190.0,49452.0,17615.0,28815.0,19940.0,0.0,262400.0,686.48,4.5,-35.1
2023-11-13,17257,159155.0,0,1,38482.0,51767.0,14447.0,28577.0,16792.0,0.0,288300.0,684.77,3.9,-36.2
2023-11-20,25351,167993.0,0,1,34423.0,63781.0,21521.0,34139.0,21580.0,0.0,391100.0,627.45,22.0,-34.6
2023-11-27,17973,139105.0,0,1,30907.0,50323.0,16861.0,25563.0,14742.0,0.0,260900.0,682.96,3.8,-37.0
2023-12-04,20860,182537.0,0,1,23283.0,45677.0,16900.0,29844.0,17529.0,0.0,275700.0,673.28,10.0,-37.5
2023-12-11,21958,185708.0,0,1,30338.0,53580.0,17192.0,35334.0,22970.0,0.0,274000.0,654.22,13.9,-36.5
2023-12-18,21286,154384.0,0,1,30521.0,48292.0,15100.0,27250.0,16434.0,0.0,273000.0,657.42,11.1,-38.3
2023-12-25,17934,0.0,0,0,24713.0,57586.0,18234.0,28160.0,18302.0,0.0,257500.0,680.41,2.2,-39.0
2024-01-01,16364,0.0,0,0,0.0,43898.0,12545.0,17836.0,11930.0,0.0,177300.0,694.0,4.1,-39.6
2024-01-08,14863,0.0,0,0,0.0,37881.0,12673.0,17857.0,10378.0,0.0,175900.0,676.97,3.0,-38.5
2024-01-15,14285,0.0,0,0,21925.0,36828.0,11308.0,24176.0,15262.0,0.0,189800.0,687.95,5.8,-37.3
2024-01-22,14200,0.0,0,0,0.0,38722.0,12217.0,25447.0,16626.0,0.0,198100.0,680.07,4.9,-37.7
2024-01-29,12975,0.0,0,0,23173.0,41213.0,13597.0,19228.0,13331.0,0.0,191300.0,676.53,3.1,-38.2
2024-02-05,13568,0.0,0,0,0.0,45823.0,11982.0,18217.0,10900.0,0.0,190100.0,663.1,2.6,-38.6
2024-02-12,13100,0.0,0,0,0.0,38785.0,12234.0,17557.0,10823.0,0.0,195400.0,678.95,4.9,-39.4
2024-02-19,12584,0.0,0,0,0.0,45584.0,12380.0,18322.0,10163.0,0.0,197400.0,692.51,2.9,-38.8
2024-02-26,11890,0.0,0,0,21206.0,37104.0,10040.0,19957.0,13238.0,0.0,173000.0,673.15,1.9,-40.0
2024-02-26,11890,0.0,0,0,21206.0,37104.0,10040.0,19957.0,13238.0,0.0,173000.0,673.15,1.9,-40.0
2024-03-04,6834,0.0,0,0,0.0,47251.0,11793.0,16739.0,10429.0,0.0,161400.0,654.95,1.5,-38.1
2024-03-11,12740,0.0,0,0,27561.0,43640.0,12832.0,18065.0,9537.0,0.0,181300.0,680.34,5.0,-36.8
2024-03-18,12165,0.0,0,0,0.0,44555.0,11414.0,22158.0,13252.0,0.0,201500.0,668.01,1.6,-39.7
2024-03-25,12913,0.0,0,0,23438.0,43682.0,11949.0,19396.0,11821.0,0.0,160100.0,662.97,2.2,-35.8
2024-04-01,12416,0.0,0,0,0.0,46763.0,11961.0,17871.0,10309.0,0.0,164500.0,672.62,5.0,-39.6
2024-04-08,13086,0.0,0,0,21041.0,44940.0,10104.0,16894.0,9548.0,0.0,179800.0,665.7,5.2,-37.5
2024-04-15,11929,0.0,0,0,0.0,48674.0,12965.0,22448.0,11899.0,0.0,170600.0,684.42,2.2,-37.4
2024-04-22,11881,0.0,0,0,26488.0,37984.0,10375.0,17199.0,10718.0,0.0,193800.0,677.33,3.0,-36.4
2024-04-29,12020,0.0,0,0,0.0,40223.0,12507.0,19439.0,11483.0,0.0,180100.0,680.21,5.4,-35.5
2024-05-06,13051,0.0,0,0,0.0,38453.0,11840.0,22272.0,14844.0,8586.0,191600.0,669.81,4.3,-33.0
2024-05-13,12703,169196.0,0,1,24962.0,44132.0,11591.0,21128.0,12915.0,9653.0,183400.0,673.66,3.3,-35.2
2024-05-20,16904,125305.0,0,1,0.0,36346.0,15080.0,20513.0,13661.0,6553.0,185000.0,669.63,10.1,-34.6
2024-05-27,18291,121208.0,0,1,0.0,48081.0,15904.0,20537.0,11247.0,8110.0,161300.0,675.8,10.6,-33.8
2024-06-03,18630,164810.0,0,1,0.0,40403.0,15976.0,17438.0,11205.0,11383.0,169300.0,655.36,8.3,-33.1
2024-06-10,17631,179102.0,0,1,0.0,43102.0,14484.0,18003.0,11974.0,7675.0,149500.0,672.54,8.4,-32.7
2024-06-17,18431,178475.0,0,1,0.0,35824.0,14803.0,18637.0,12386.0,9417.0,167400.0,680.69,11.6,-33.0
2024-06-24,14475,0.0,0,0,0.0,38589.0,10969.0,12664.0,7467.0,12124.0,170700.0,685.7,6.6,-30.7
2024-07-01,13827,0.0,0,0,0.0,39150.0,10246.0,18757.0,10517.0,8987.0,184100.0,678.37,5.3,-30.8
2024-07-08,12655,0.0,0,0,20673.0,34445.0,13141.0,19544.0,14060.0,11247.0,161700.0,672.51,3.7,-29.1
2024-07-15,11806,0.0,0,0,23028.0,35189.0,10683.0,19585.0,11861.0,7646.0,205600.0,657.36,2.9,-28.5
2024-07-22,12051,0.0,0,0,22234.0,39884.0,11118.0,19486.0,10608.0,8272.0,197300.0,671.86,4.0,-31.6
2024-07-29,12423,0.0,0,0,0.0,38391.0,12455.0,20299.0,12288.0,8899.0,163700.0,654.58,5.5,-27.6
2024-08-05,11865,0.0,0,0,16427.0,35758.0,10383.0,20463.0,13037.0,8178.0,151400.0,662.75,5.8,-28.7
2024-08-12,11821,0.0,0,0,0.0,39423.0,12576.0,23854.0,13897.0,9502.0,155000.0,667.89,3.9,-27.7
2024-08-19,11487,0.0,0,0,15607.0,27225.0,10988.0,20181.0,12964.0,6325.0,183600.0,667.01,4.6,-29.3
2024-08-26,12075,0.0,0,0,27541.0,33561.0,10636.0,21919.0,14624.0,7397.0,160400.0,675.93,1.8,-28.5
2024-09-02,12754,37095.0,1,0,15820.0,31246.0,11303.0,18323.0,11273.0,10950.0,174600.0,666.24,3.7,-28.7
2024-09-09,13550,36691.0,1,0,0.0,36446.0,10979.0,20614.0,13955.0,9167.0,187400.0,658.04,6.1,-27.9
2024-09-16,13737,40217.0,1,0,25768.0,35373.0,12283.0,20529.0,12556.0,9717.0,184900.0,663.89,3.7,-30.4
2024-09-23,14022,40519.0,1,0,0.0,35508.0,13702.0,19243.0,11338.0,11508.0,190000.0,661.35,4.6,-30.6
2024-09-30,14627,32633.0,1,0,0.0,30253.0,12809.0,15562.0,11511.0,6368.0,159700.0,675.74,5.3,-30.5
2024-10-07,14281,40775.0,1,0,0.0,33859.0,12558.0,16469.0,10935.0,4508.0,188900.0,654.94,5.2,-28.9
2024-10-14,15121,39107.0,1,0,0.0,35631.0,11262.0,20935.0,13082.0,11640.0,189400.0,662.43,4.1,-29.0
2024-10-21,14827,37501.0,1,0,0.0,36579.0,11711.0,19691.0,10032.0,6928.0,193300.0,673.33,3.1,-32.6
2024-10-28,15684,37724.0,1,0,41747.0,44283.0,16611.0,26209.0,14573.0,13101.0,281400.0,658.78,0.7,-31.0
2024-11-04,16444,36497.0,1,0,42806.0,45459.0,16409.0,25135.0,13564.0,10539.0,249900.0,668.36,2.2,-32.1
2024-11-11,17669,195490.0,1,1,38042.0,48757.0,16650.0,27050.0,16692.0,9142.0,232400.0,665.18,3.5,-32.8
2024-11-18,18935,175007.0,1,1,39042.0,52776.0,15034.0,28254.0,17454.0,12857.0,274500.0,661.87,5.0,-32.3
2024-11-25,27414,183998.0,1,1,42128.0,61073.0,23587.0,37464.0,23693.0,13669.0,413000.0,590.18,22.3,-31.1
2024-12-02,21903,155678.0,1,1,37343.0,54000.0,14855.0,26806.0,17827.0,11732.0,257500.0,639.14,13.7,-33.0
2024-12-09,22460,158282.0,1,1,35212.0,44707.0,16278.0,26410.0,14522.0,9158.0,257400.0,634.39,10.1,-34.6
2024-12-16,21397,212890.0,1,1,33534.0,50462.0,17444.0,27528.0,15430.0,13425.0,271700.0,640.46,9.3,-35.2
2024-12-23,19850,34951.0,1,0,33452.0,53497.0,15555.0,29757.0,17325.0,15812.0,285300.0,651.19,4.9,-34.2
2024-12-30,18277,38873.0,1,0,0.0,39532.0,13208.0,25607.0,16392.0,6368.0,190100.0,666.7,6.6,
2025-01-06,16603,31331.0,1,0,0.0,33762.0,10253.0,21259.0,13497.0,10107.0,161400.0,667.43,4.2,-33.9
2025-01-13,15708,37154.0,1,0,0.0,43430.0,11053.0,16285.0,8825.0,9376.0,172600.0,673.03,3.1,-33.8
